,Itemcode,Item Description,Brand,Pack-size,Vendor ID,Receive Date,PO Number,PO Line #,Ordered Quantity,Order UOM,Received Quantity,Rec. UOM,Weight (LB),Variance (Quantity),Estimate Inventory Cost,Actual Inventory Cost,Variance (Inventory Cost),Estimate Add-on Cost,Actual Add-on Cost,Variance (Add-on Cost),Price per Case ($)
45,APP11,Apple McIntosh tote 10/4#,,,ROG,03/14/2016,3245,2,120,CS,120,CS,0.0,0.0,2250.0,2250.0,0.0,150.0,150.0,0.0,18.75
46,APP11,Apple McIntosh tote 10/4#,,,ROG,03/21/2016,3261,1,120,CS,120,CS,0.0,0.0,2250.0,2250.0,0.0,150.0,150.0,0.0,18.75
47,APP11,Apple McIntosh tote 10/4#,,,ROG,03/25/2016,3267,1,120,CS,120,CS,0.0,0.0,2250.0,2250.0,0.0,150.0,150.0,0.0,18.75
48,APP11,Apple McIntosh tote 10/4#,,,ROG,04/04/2016,3283,2,90,CS,90,CS,0.0,0.0,1687.5,1687.5,0.0,112.5,112.5,0.0,18.75
49,APP11,Apple McIntosh tote 10/4#,,,ROG,04/11/2016,3304,1,120,CS,120,CS,0.0,0.0,2250.0,2250.0,0.0,150.0,150.0,0.0,18.75
50,APP11,Apple McIntosh tote 10/4#,,,ROG,04/18/2016,3316,1,120,CS,120,CS,0.0,0.0,2250.0,2250.0,0.0,150.0,150.0,0.0,18.75
51,APP11,Apple McIntosh tote 10/4#,,,ROG,04/27/2016,3336,1,150,CS,150,CS,0.0,0.0,2812.5,2812.5,0.0,187.5,187.5,0.0,18.75
52,APP11,Apple McIntosh tote 10/4#,,,ROG,05/04/2016,3349,1,90,CS,79,CS,0.0,-12.22,1481.25,1481.25,0.0,112.5,112.5,0.0,18.75
53,APP11,Apple McIntosh tote 10/4#,,,ROG,05/05/2016,3469,1,12,CS,12,CS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,APP11,Apple McIntosh tote 10/4#,,,ORB,02/22/2017,4662,1,504,CS,504,CS,0.0,0.0,11718.0,11718.0,0.0,640.08,640.08,0.0,23.25
55,APP11,Apple McIntosh tote 10/4#,,,ORB,03/01/2017,4672,1,378,CS,378,CS,0.0,0.0,8788.5,8788.5,0.0,480.06,480.06,0.0,23.25
56,APP11,Apple McIntosh tote 10/4#,,,ORB,03/08/2017,4683,1,504,CS,502,CS,0.0,-0.4,11671.5,11671.5,0.0,637.54,637.54,0.0,23.25
57,APP11,Apple McIntosh tote 10/4#,,,ORB,03/15/2017,4693,1,336,CS,336,CS,0.0,0.0,7980.0,7980.0,0.0,426.72,426.72,0.0,23.75
58,APP11,Apple McIntosh tote 10/4#,,,ORB,03/18/2017,4703,1,714,CS,714,CS,0.0,0.0,17314.5,17314.5,0.0,510.0,510.0,0.0,24.25
59,APP11,Apple McIntosh tote 10/4#,,,ORB,03/22/2017,4704,1,210,CS,210,CS,0.0,0.0,4987.5,4987.5,0.0,266.7,266.7,0.0,23.75
60,APP11,Apple McIntosh tote 10/4#,,,ORB,03/29/2017,4719,1,756,CS,756,CS,0.0,0.0,18333.0,18333.0,0.0,540.0,540.0,0.0,24.25
61,APP11,Apple McIntosh tote 10/4#,,,ORB,03/31/2017,4727,1,1008,CS,1008,CS,0.0,0.0,23940.0,23940.0,0.0,1280.16,1280.16,0.0,23.75
62,APP11,Apple McIntosh tote 10/4#,,,ORB,04/07/2017,4733,1,1008,CS,1008,CS,0.0,0.0,23940.0,23940.0,0.0,1280.16,1280.16,0.0,23.75
63,APP11,Apple McIntosh tote 10/4#,,,ORB,04/12/2017,4739,1,504,CS,504,CS,0.0,0.0,12222.0,12222.0,0.0,360.0,360.0,0.0,24.25
64,APP11,Apple McIntosh tote 10/4#,,,ORB,04/19/2017,4744,1,1050,CS,1050,CS,0.0,0.0,24937.5,24937.5,0.0,1333.5,1333.5,0.0,23.75
65,APP11,Apple McIntosh tote 10/4#,,,ORB,04/27/2017,4753,1,327,CS,327,CS,0.0,0.0,7929.75,7929.75,0.0,270.0,270.0,0.0,24.25
77,APP12,Apple McIntosh polybag 12/3#,,,ROG,03/13/2015,1598,2,120,CS,120,CS,0.0,0.0,2160.0,2160.0,0.0,162.74,162.74,0.0,18.0
78,APP12,Apple McIntosh polybag 12/3#,,,ROG,03/16/2015,1606,2,90,CS,90,CS,0.0,0.0,1620.0,1620.0,0.0,112.5,112.5,0.0,18.0
