"School District",SchoolName,Enrollment,AvgDailyAtt,FreeApps,ReducedApps,"Total F/R Apps","F/R ADA","F/R %","Paid ADA",LunchDays,LunchPaid,LunchFree,LunchReduced,"Total F/R Lunches","Total Lunches","Lunch ADP","Total Lunch Participation","F/R Lunch ADP","F/R Lunch Participation","Paid Lunch ADP","Paid Lunch Participation",BreakfastDays,BrkPaid,BrkFree,BrkReduced,BrkSvrNeedFree,BrkSvrNeedReduced,"Total F/R Breakfasts","Total Breakfasts","Breakfast ADP","Total Breakfast Participation","F/R Breakfast ADP","F/R Breakfast Participation","Paid Breakfast ADP","Paid Breakfast Participation","How many kids eligible for F/R ate lunch but not school breakfast?","Percentage of students eligible for F/R meals who eat both breakfast and lunch ","MSBC Goal","Breakfast ADP needed to reach goal ","Increase in breakfast ADP to reach goal ","Progress toward achieving MSBC goal","Breakfast Paid %","Breakfast Free %","Breakfast Reduced %","Breakfast Severe Free %","Breakfast Severe Reduced %","Estimated additional annual revenue if MSBC goal reached","CEP Eligible",County
"Acton Boxborough Reg'l School Dist",DOUGLAS,435,413,29,4,33,31.33103448275862,0.07586206896551724,381.66896551724136,16,2090,310,41,351,2441,152.5625,0.3694007263922518,21.9375,0.7001843495487563,130.625,0.34224684687940443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.9375,0,0.25,103,103,0,0,0,0,0,0,0,"Not Eligible",
"Acton Boxborough Reg'l School Dist",GATES,403,382,46,6,52,49.29032258064516,0.12903225806451613,332.7096774193548,15,1713,407,66,473,2186,145.73333333333332,0.381500872600349,31.533333333333335,0.6397469458987785,114.2,0.3432421950746558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.533333333333335,0,0.25,96,96,0,0,0,0,0,0,0,"Not Eligible",
"Acton Boxborough Reg'l School Dist","LUTHER CONANT",448,425,37,8,45,42.689732142857146,0.10044642857142858,382.3102678571429,16,2127,367,93,460,2587,161.6875,0.3804411764705882,28.75,0.6734640522875817,132.9375,0.3477215005108743,13,44,76,1,0,0,77,121,9.307692307692308,0.021900452488687785,5.923076923076923,0.13874710910005028,3.3846153846153846,0.008853059070545568,22.826923076923077,0.20602006688963212,0.25,106,96.6923076923077,0.08780841799709725,0.36363636363636365,0.628099173553719,0.008264462809917356,0,0,18001.55054036872,"Not Eligible",
"Acton Boxborough Reg'l School Dist",MCCARTHY-TOWNE,503,477,61,14,75,71.12326043737575,0.14910536779324055,405.87673956262427,12,2133,420,93,513,2646,220.5,0.46226415094339623,42.75,0.6010691823899371,177.75,0.4379408393581379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.75,0,0.25,119,119,0,0,0,0,0,0,0,"Not Eligible",
"Acton Boxborough Reg'l School Dist",MERRIAM,522,495,39,5,44,41.724137931034484,0.0842911877394636,453.2758620689655,16,2461,309,47,356,2817,176.0625,0.35568181818181815,22.25,0.5332644628099174,153.8125,0.33933529859262074,12,127,110,23,0,0,133,260,21.666666666666668,0.04377104377104377,11.083333333333334,0.265633608815427,10.583333333333334,0.023348548243945735,11.166666666666666,0.4981273408239701,0.25,124,102.33333333333333,0.17473118279569894,0.48846153846153845,0.4230769230769231,0.08846153846153847,0,0,16850.757692307692,"Not Eligible",
"Acton Boxborough Reg'l School Dist","RJ GREY JUNIOR HIGH SCHOOL",966,917,66,22,88,83.53623188405797,0.09109730848861283,833.463768115942,16,6149,772,240,1012,7161,447.5625,0.4880725190839695,63.25,0.7571564885496184,384.3125,0.46110282738353997,16,157,342,13,0,0,355,512,32,0.03489640130861505,22.1875,0.26560331367106177,9.8125,0.011773157244952964,41.0625,0.35079051383399207,0.25,229,197,0.13973799126637554,0.306640625,0.66796875,0.025390625,0,0,39182.607421875,"Not Eligible",
"Acton Boxborough Reg'l School Dist",VICTOR,73,69,5,1,6,5.671232876712329,0.0821917808219178,63.32876712328767,15,73,45,15,60,133,8.866666666666667,0.1285024154589372,4,0.7053140096618357,4.866666666666666,0.07684764582882687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.25,17,17,0,0,0,0,0,0,0,"Not Eligible",
"Acushnet Public Schools","ACUSHNET ELEMENTARY SCH",572,549,163,45,208,199.63636363636363,0.36363636363636365,349.3636363636364,20,2982,2068,592,2660,5642,282.1,0.5138433515482697,133,0.6662112932604736,149.1,0.426775956284153,19,611,0,0,842,152,994,1605,84.47368421052632,0.1538682772505033,52.31578947368421,0.2620554117534273,32.1578947368421,0.09204705753454674,80.68421052631578,0.39335180055401664,0.5,275,190.5263157894737,0.30717703349282294,0.3806853582554517,0,0,0.5246105919003116,0.09470404984423676,42909.23285784555,"Not Eligible",
"Acushnet Public Schools","FORD MIDDLE SCHOOL",425,408,129,32,161,154.56,0.3788235294117647,253.44,20,2702,1749,443,2192,4894,244.7,0.5997549019607843,109.6,0.7091097308488612,135.1,0.5330650252525252,19,421,535,69,0,0,604,1025,53.94736842105263,0.13222394220846234,31.789473684210527,0.2056772365696851,22.157894736842106,0.08742856193514088,77.81052631578947,0.29004994237418363,0.5,204,150.05263157894737,0.2644478844169247,0.41073170731707315,0.5219512195121951,0.06731707317073171,0,0,26951.502130937097,"Not Eligible",
"Adams-Cheshire Regional School District","HEAD START PROGRAM",20,18,20,0,20,18,1,0,16,50,233,0,233,283,17.6875,0.9826388888888888,14.5625,0.8090277777777778,3.125,0,16,50,0,0,233,0,233,283,17.6875,0.9826388888888888,14.5625,0.8090277777777778,3.125,0,0,1,0.8,14,0,1,0.17667844522968199,0,0,0.823321554770318,0,0,Eligible,
