"School District",SchoolName,Enrollment,AvgDailyAtt,FreeApps,ReducedApps,"Total F/R Apps","F/R ADA","F/R %","Paid ADA",LunchDays,LunchPaid,LunchFree,LunchReduced,"Total F/R Lunches","Total Lunches","Lunch ADP","Total Lunch Participation","F/R Lunch ADP","F/R Lunch Participation","Paid Lunch ADP","Paid Lunch Participation",BreakfastDays,BrkPaid,BrkFree,BrkReduced,BrkSvrNeedFree,BrkSvrNeedReduced,"Total F/R Breakfasts","Total Breakfasts","Breakfast ADP","Total Breakfast Participation","F/R Breakfast ADP","F/R Breakfast Participation","Paid Breakfast ADP","Paid Breakfast Participation","How many kids eligible for F/R ate lunch but not school breakfast?","Percentage of students eligible for F/R meals who eat both breakfast and lunch ","MSBC Goal","Breakfast ADP needed to reach goal ","Increase in breakfast ADP to reach goal ","Progress toward achieving MSBC goal","Breakfast Paid %","Breakfast Free %","Breakfast Reduced %","Breakfast Severe Free %","Breakfast Severe Reduced %","Estimated additional annual revenue if MSBC goal reached","CEP Eligible",County
"East Longmeadow Public Schools","BIRCHLAND PARK",668,638,151,31,182,173.82634730538922,0.27245508982035926,464.1736526946108,19,4449,2051,378,2429,6878,362,0.567398119122257,127.84210526315789,0.7354587336438516,234.1578947368421,0.504461839610055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.84210526315789,0,0.25,160,160,0,0,0,0,0,0,0,"Not Eligible",
"East Longmeadow Public Schools","EAST LONGMEADOW HIGH",863,806,154,57,211,197.06373117033604,0.24449594438006952,608.936268829664,19,4607,1713,613,2326,6933,364.89473684210526,0.45272299856340603,122.42105263157895,0.62122569132603,242.47368421052633,0.39819221915709674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.42105263157895,0,0.25,202,202,0,0,0,0,0,0,0,"Not Eligible",
"East Longmeadow Public Schools",MAPLESHADE,281,271,69,26,95,91.61921708185054,0.33807829181494664,179.38078291814946,19,1646,932,334,1266,2912,153.26315789473685,0.5655467080986599,66.63157894736842,0.727266408398156,86.63157894736842,0.4829479364403152,19,585,0,0,546,146,692,1277,67.21052631578948,0.24800932219848518,36.421052631578945,0.3975263464546002,30.789473684210527,0.17164310013218978,30.21052631578948,0.546603475513428,0.5,136,68.78947368421052,0.4941950464396285,0.4581049334377447,0,0,0.42756460454189504,0.11433046202036022,14136.93173968594,"Not Eligible",
"East Longmeadow Public Schools","MEADOW BROOK",551,512,97,25,122,113.36479128856624,0.22141560798548093,398.63520871143373,19,3263,1183,272,1455,4718,248.31578947368422,0.4849917763157895,76.57894736842105,0.6755090932377049,171.73684210526315,0.43081202651515155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.57894736842105,0,0.25,128,128,0,0,0,0,0,0,0,"Not Eligible",
"East Longmeadow Public Schools","MOUNTAIN VIEW",301,282,57,7,64,59.96013289036545,0.21262458471760798,222.03986710963457,19,1753,738,95,833,2586,136.10526315789474,0.4826427771556551,43.8421052631579,0.7311875933184024,92.26315789473684,0.4155251896686684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8421052631579,0,0.25,71,71,0,0,0,0,0,0,0,"Not Eligible",
"Easthampton Public Schools",MAPLE,208,195,89,19,108,101.25,0.5192307692307693,93.75,21,574,1276,200,1476,2050,97.61904761904762,0.5006105006105006,70.28571428571429,0.6941798941798942,27.333333333333332,0.29155555555555557,21,98,0,0,479,41,520,618,29.428571428571427,0.1509157509157509,24.761904761904763,0.24456202233980012,4.666666666666667,0.04977777777777778,45.52380952380953,0.3523035230352303,0.5,98,68.57142857142857,0.30029154518950435,0.15857605177993528,0,0,0.7750809061488673,0.06634304207119741,19423.023578363383,Eligible,
"Easthampton Public Schools","CENTER SCHOOL",203,191,65,15,80,75.27093596059113,0.39408866995073893,115.72906403940887,21,798,790,168,958,1756,83.61904761904762,0.43779606083271005,45.61904761904762,0.606064572425829,38,0.3283531264632018,21,25,0,0,116,4,120,145,6.904761904761905,0.036150585888805785,5.714285714285714,0.07591623036649214,1.1904761904761905,0.010286752082180507,39.904761904761905,0.12526096033402923,0.5,96,89.0952380952381,0.07192460317460318,0.1724137931034483,0,0,0.8,0.027586206896551724,24719.320197044333,"Near Eligible",
"Easthampton Public Schools","NEIL A. PEPIN",182,171,59,10,69,64.82967032967034,0.3791208791208791,106.17032967032966,21,1581,759,108,867,2448,116.57142857142857,0.681704260651629,41.285714285714285,0.6368336299686413,75.28571428571429,0.7091031413341614,21,143,0,0,281,72,353,496,23.61904761904762,0.13812308549150656,16.80952380952381,0.25928751024098085,6.809523809523809,0.06413772878607532,24.476190476190474,0.40715109573241065,0.5,86,62.38095238095238,0.27464008859357697,0.28830645161290325,0,0,0.5665322580645161,0.14516129032258066,15764.597350230413,"Near Eligible",
"Easthampton Public Schools","WHITE BROOK MIDDLE SCHOOL",451,425,137,47,184,173.39246119733926,0.4079822616407982,251.60753880266077,21,2188,1735,473,2208,4396,209.33333333333334,0.49254901960784314,105.14285714285714,0.6063865546218487,104.19047619047619,0.4140991827442587,21,327,0,0,791,152,943,1270,60.476190476190474,0.142296918767507,44.904761904761905,0.25897759103641455,15.571428571428571,0.061887766342492045,60.238095238095234,0.42708333333333337,0.5,213,152.52380952380952,0.28392577688352333,0.2574803149606299,0,0,0.6228346456692914,0.11968503937007874,39596.21379077615,"Near Eligible",
"Easthampton Public Schools","EASTHAMPTON HIGH",466,423,134,23,157,142.5128755364807,0.3369098712446352,280.4871244635193,21,2281,1419,171,1590,3871,184.33333333333334,0.43577620173364856,75.71428571428571,0.5312803171591625,108.61904761904762,0.38725145700288577,21,18,0,0,311,47,358,376,17.904761904761905,0.042328042328042326,17.047619047619047,0.11962160600187433,0.8571428571428571,0.0030559080342183005,58.66666666666666,0.22515723270440252,0.5,212,194.0952380952381,0.08445642407906559,0.047872340425531915,0,0,0.8271276595744681,0.125,61355.56960486323,"Not Eligible",
"Easton Public Schools",CENTER,270,251,43,7,50,46.48148148148148,0.18518518518518517,204.5185185185185,15,1408,475,70,545,1953,130.2,0.5187250996015936,36.333333333333336,0.7816733067729085,93.86666666666666,0.4589641434262948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.333333333333336,0,0.25,63,63,0,0,0,0,0,0,0,"Not Eligible",
"Easton Public Schools","EASTON MIDDLE SCHOOL",893,853,133,25,158,150.92273236282193,0.1769316909294513,702.077267637178,18,3321,1177,188,1365,4686,260.3333333333333,0.30519734271199683,75.83333333333333,0.5024646197832421,184.5,0.2627915879130081,18,116,177,32,0,0,209,325,18.055555555555557,0.021167122573922108,11.61111111111111,0.0769341432488627,6.444444444444445,0.0091791099662478,64.22222222222221,0.15311355311355312,0.25,213,194.94444444444446,0.08476786645800731,0.3569230769230769,0.5446153846153846,0.09846153846153846,0,0,37513.909230769226,"Not Eligible",
"Easton Public Schools","MOREAU HALL",230,214,42,4,46,42.8,0.2,171.2,15,972,351,42,393,1365,91,0.4252336448598131,26.2,0.6121495327102804,64.8,0.37850467289719625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2,0,0.25,54,54,0,0,0,0,0,0,0,"Not Eligible",
"Easton Public Schools","OLIVER AMES HIGH",1191,1123,170,45,215,202.7246011754828,0.18052057094878254,920.2753988245172,18,4379,1678,360,2038,6417,356.5,0.317453250222618,113.22222222222223,0.5585026265471087,243.27777777777777,0.26435323392162874,18,150,262,23,0,0,285,435,24.166666666666668,0.02151973879489463,15.833333333333334,0.0781026734867154,8.333333333333334,0.009055260353561159,97.3888888888889,0.13984298331697742,0.25,281,256.8333333333333,0.08600237247924081,0.3448275862068966,0.6022988505747127,0.052873563218390804,0,0,49434.21724137931,"Not Eligible",
"Easton Public Schools","PARKVIEW ELEMENTARY",323,300,20,8,28,26.006191950464395,0.08668730650154799,273.9938080495356,15,1504,137,10,147,1651,110.06666666666666,0.3668888888888889,9.8,0.3768333333333334,100.26666666666667,0.3659450094161959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,0,0.25,75,75,0,0,0,0,0,0,0,"Not Eligible",
"Easton Public Schools",RICHARDSON-OLMSTED,850,814,116,26,142,135.9858823529412,0.16705882352941176,678.0141176470588,15,3315,1205,271,1476,4791,319.4,0.39238329238329234,98.4,0.7236045264214278,221,0.3259519149349658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4,0,0.25,204,204,0,0,0,0,0,0,0,"Not Eligible",
"Edgartown School Committee","EDGARTOWN ELEMENTARY",362,338,122,52,174,162.46408839779005,0.48066298342541436,175.53591160220992,18,1665,1784,649,2433,4098,227.66666666666666,0.6735700197238659,135.16666666666666,0.8319787344986284,92.5,0.5269576986025432,18,176,0,0,555,102,657,833,46.27777777777778,0.13691650230111768,36.5,0.22466503434673196,9.777777777777779,0.055702435407836405,98.66666666666666,0.27003699136868065,0.5,169,122.72222222222223,0.27383300460223536,0.2112845138055222,0,0,0.6662665066026411,0.12244897959183673,33398.329771908764,"Near Eligible",
"Erving Public Schools","ERVING ELEMENTARY",144,132,108,0,108,99,0.75,33,19,514,1533,0,1533,2047,107.73684210526316,0.8161881977671452,80.6842105263158,0.8149920255183414,27.05263157894737,0.8197767145135567,19,501,0,0,1494,0,1494,1995,105,0.7954545454545454,78.63157894736842,0.7942583732057417,26.36842105263158,0.7990430622009569,2.05263157894737,0.974559686888454,0.8,106,1,0.9905660377358491,0.2511278195488722,0,0,0.7488721804511278,0,254.8475187969925,Enrolled,
"Essex North Shore Agricultural/Technical","ESSEX N/S AG. & TECH. SCHOOL",1367,1280,283,71,354,331.47037307973665,0.25896122896854423,948.5296269202634,16,3907,2321,459,2780,6687,417.9375,0.326513671875,173.75,0.5241795771539548,244.1875,0.257437926101308,16,118,0,0,663,59,722,840,52.5,0.041015625,45.125,0.13613584701624293,7.375,0.007775192034797631,128.625,0.25971223021582734,0.25,320,267.5,0.1640625,0.14047619047619048,0,0,0.7892857142857143,0.07023809523809524,77124.83571428571,"Not Eligible",
"Everett Public Schools","PIONEER CHARTER SCHOOL OF SCIENCE",666,646,267,70,337,326.87987987987987,0.506006006006006,319.12012012012013,18,223,4417,198,4615,4838,268.77777777777777,0.41606467148262816,256.3888888888889,0.7843520041157179,12.38888888888889,0.0388220237703144,18,160,0,0,2397,202,2599,2759,153.27777777777777,0.2372721018231854,144.38888888888889,0.4417184959256231,8.88888888888889,0.02785436683071885,112.00000000000003,0.5631635969664138,0.5,323,169.72222222222223,0.4745442036463708,0.05799202609641174,0,0,0.8687930409568684,0.07321493294671982,52715.74682856107,Eligible,
"Everett Public Schools","PIONEER CHARTER SCHOOL OF SCIENCE II",360,346,146,51,197,189.3388888888889,0.5472222222222223,156.66111111111113,18,51,2345,424,2769,2820,156.66666666666666,0.45279383429672443,153.83333333333334,0.8124761597370969,2.8333333333333335,0.01808574772155041,18,607,0,0,2561,832,3393,4000,222.22222222222223,0.6422607578676943,188.5,0.9955693788327806,33.72222222222222,0.21525586013688428,0,1.2253521126760563,0.5,173,0,1,0.15175,0,0,0.64025,0.208,0,Eligible,
"Everett Public Schools","ADAMS SCHOOL",225,203,186,0,186,167.81333333333333,0.8266666666666667,35.18666666666667,0,0,0,0,0,0,0,0,0,0,0,0,17,455,0,0,2708,0,2708,3163,186.05882352941177,0.9165459287163141,159.2941176470588,0.9492339761266019,26.764705882352942,0.7606490872210954,0,0,0.8,162,0,1,0.1438507745810939,0,0,0.8561492254189061,0,0,Enrolled,
"Everett Public Schools","DEVENS SCHOOL",70,67,70,0,70,67,1,0,17,136,807,0,807,943,55.470588235294116,0.8279192273924495,47.470588235294116,0.7085162423178226,8,0,17,158,0,0,941,0,941,1099,64.6470588235294,0.9648814749780509,55.35294117647059,0.8261633011413521,9.294117647058824,0,0,1.1660470879801734,0.8,54,0,1,0.1437670609645132,0,0,0.8562329390354868,0,0,Enrolled,
"Everett Public Schools","EVERETT HIGH",1980,1822,1523,0,1523,1401.4676767676767,0.7691919191919192,420.5323232323233,17,3460,20571,0,20571,24031,1413.5882352941176,0.775844256473171,1210.0588235294117,0.8634225702017421,203.52941176470588,0.4839804231939288,17,1385,0,0,8234,0,8234,9619,565.8235294117648,0.3105507845289598,484.3529411764706,0.3456040757883012,81.47058823529412,0.19373204801259866,725.7058823529411,0.4002722278936367,0.8,1458,892.1764705882352,0.388081981763899,0.14398586131614513,0,0,0.8560141386838549,0,253006.0729169597,Enrolled,
"Everett Public Schools",KEVERIAN,879,844,777,0,777,746.0614334470989,0.8839590443686007,97.93856655290102,17,1800,10698,0,10698,12498,735.1764705882352,0.8710621689434067,629.2941176470588,0.8434883367975088,105.88235294117646,1.0811098902900997,17,1700,0,0,10105,0,10105,11805,694.4117647058823,0.8227627543908558,594.4117647058823,0.7967330008729507,100,1.0210482297184276,34.882352941176464,0.9445690783323986,0.8,675,0,1,0.14400677678949597,0,0,0.855993223210504,0,0,Enrolled,
"Everett Public Schools",LAFAYETTE,942,895,800,0,800,760.0849256900212,0.8492569002123143,134.91507430997876,17,1680,9988,0,9988,11668,686.3529411764706,0.7668747946105817,587.5294117647059,0.772978639500493,98.82352941176471,0.7324869360758703,17,1803,0,0,10716,0,10716,12519,736.4117647058823,0.822806441012159,630.3529411764706,0.8293190930003287,106.05882352941177,0.7861154438957109,0,1.0728874649579496,0.8,716,0,1,0.1440210879463216,0,0,0.8559789120536784,0,0,Enrolled,
"Everett Public Schools","MADELINE ENGLISH",828,795,672,0,672,645.2173913043479,0.8115942028985508,149.7826086956522,17,1623,9651,0,9651,11274,663.1764705882352,0.8341842397336292,567.7058823529412,0.8798676074203267,95.47058823529412,0.6373943481601638,17,1366,0,0,8117,0,8117,9483,557.8235294117648,0.7016648168701444,477.47058823529414,0.7400150626288251,80.3529411764706,0.5364637582173654,90.23529411764707,0.8410527406486374,0.8,636,78.17647058823525,0.8770810210876804,0.14404724243382896,0,0,0.8559527575661711,0,22168.230459459948,Enrolled,
"Everett Public Schools","PARLIN JR HIGH",829,796,796,0,796,764.313630880579,0.9601930036188179,31.68636911942099,17,1814,10785,0,10785,12599,741.1176470588235,0.9310523204256577,634.4117647058823,0.8300411494362144,106.70588235294117,3.3675642024740453,17,356,0,0,2114,0,2114,2470,145.2941176470588,0.18253029855158143,124.3529411764706,0.16269884004711707,20.941176470588236,0.6608891158107829,510.0588235294117,0.1960129809921187,0.8,637,491.7058823529412,0.2280912364945978,0.14412955465587043,0,0,0.8558704453441296,0,139420.4756656347,Enrolled,
"Everett Public Schools",WEBSTER,749,644,680,0,680,584.6728971962617,0.9078771695594126,59.32710280373831,17,625,3714,0,3714,4339,255.23529411764707,0.3963280964559737,218.47058823529412,0.3736629306454039,36.76470588235294,0.6196949479224583,17,1051,0,0,6249,0,6249,7300,429.4117647058824,0.6667884545122397,367.5882352941176,0.6287074996238904,61.8235294117647,1.0420790244264058,0,1.682552504038772,0.8,515,85.58823529411762,0.8338092518560822,0.14397260273972604,0,0,0.856027397260274,0,24271.672191780817,Enrolled,
"Everett Public Schools",WHITTIER,638,606,602,0,602,571.8056426332288,0.9435736677115988,34.19435736677116,17,1486,8833,0,8833,10319,607,1.0016501650165017,519.5882352941177,0.9086797970397003,87.41176470588235,2.5563213184063507,17,1063,0,0,6321,0,6321,7384,434.3529411764706,0.7167540283440109,371.8235294117647,0.6502620850320326,62.529411764705884,1.828647080394314,147.76470588235298,0.7156119098833917,0.8,485,50.64705882352939,0.895573074590661,0.14395991332611052,0,0,0.8560400866738895,0,14362.99694251481,Enrolled,
"Everett Public Schools","POPE JOHN SCHOOL",353,342,39,9,48,46.5042492917847,0.1359773371104816,295.4957507082153,15,2351,429,89,518,2869,191.26666666666668,0.5592592592592593,34.53333333333333,0.7425844704353476,156.73333333333332,0.530408078484006,15,42,366,0,0,0,366,408,27.2,0.07953216374269005,24.4,0.5246832358674464,2.8,0.0094756015722366,10.133333333333333,0.7065637065637066,0.25,86,58.8,0.31627906976744186,0.10294117647058823,0.8970588235294118,0,0,0,14093.841176470587,"Not Eligible",
"Everett Public Schools","ST ANTHONY'S",287,273,66,20,86,81.80487804878048,0.29965156794425085,191.1951219512195,16,1791,896,231,1127,2918,182.375,0.668040293040293,70.4375,0.8610427847346452,111.9375,0.5854621125143513,16,15,0,0,54,2,56,71,4.4375,0.016254578754578756,3.5,0.042784734645199766,0.9375,0.004903367776502105,66.9375,0.049689440993788817,0.5,137,132.5625,0.03239051094890511,0.2112676056338028,0,0,0.7605633802816901,0.028169014084507043,35402.02922535211,"Not Eligible",
"Excel Academy Charter School","EXCEL ACADEMY CHARTER HIGH SCHOOL",442,414,286,74,360,337.19457013574663,0.8144796380090498,76.8054298642534,18,300,2465,526,2991,3291,182.83333333333334,0.4416264090177134,166.16666666666666,0.49279164430130606,16.666666666666668,0.21699854679706218,18,72,0,0,747,144,891,963,53.5,0.1292270531400966,49.5,0.14679951690821255,4,0.05207965123129492,116.66666666666666,0.2978936810431294,0.8,331,277.5,0.16163141993957703,0.07476635514018691,0,0,0.7757009345794392,0.14953271028037382,86086.72429906542,Eligible,
"Excel Academy Charter School","EXCEL ACADEMY EAST BOSTON",234,227,142,39,181,175.5854700854701,0.7735042735042735,51.414529914529915,18,399,1631,420,2051,2450,136.11111111111111,0.5996084189916789,113.94444444444444,0.6489400540316889,22.166666666666668,0.43113623140221097,18,93,0,0,419,45,464,557,30.944444444444443,0.13631913852178168,25.77777777777778,0.14681042665563318,5.166666666666667,0.10049039980051534,88.16666666666666,0.22623110677718186,0.8,182,151.05555555555554,0.17002442002442,0.16696588868940754,0,0,0.7522441651705566,0.0807899461400359,42564.79784560144,Eligible,
"Excel Academy Charter School","EXCEL ACADEMY CHELSEA",226,215,209,0,209,198.8274336283186,0.9247787610619469,16.172566371681416,18,230,2797,0,2797,3027,168.16666666666666,0.7821705426356589,155.38888888888889,0.7815264023342358,12.777777777777779,0.7900896792825658,18,132,0,0,1604,0,1604,1736,96.44444444444444,0.44857881136950906,89.11111111111111,0.4481831781709382,7.333333333333333,0.45344277245782033,66.27777777777777,0.57347157668931,0.8,172,75.55555555555556,0.5607235142118863,0.07603686635944701,0,0,0.923963133640553,0,22803.188940092165,Enrolled,
"Excel Academy Charter School","EXCEL ACADEMY ORIENT HEIGHTS",224,218,206,0,206,200.48214285714286,0.9196428571428571,17.517857142857142,18,200,2244,0,2244,2444,135.77777777777777,0.6228338430173292,124.66666666666667,0.6218342685787239,11.11111111111111,0.6342734171480349,18,93,0,0,1039,0,1039,1132,62.888888888888886,0.28848114169215083,57.72222222222222,0.2879170254248191,5.166666666666667,0.2949371389738362,66.94444444444446,0.46301247771836007,0.8,174,111.11111111111111,0.3614303959131545,0.08215547703180212,0,0,0.9178445229681979,0,33351.7667844523,Enrolled,
"Fairhaven Public Schools",SMEC,46,44,23,3,26,24.869565217391305,0.5652173913043478,19.130434782608695,17,57,159,16,175,232,13.647058823529411,0.3101604278074866,10.294117647058824,0.41392431098313454,3.3529411764705883,0.17526737967914438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.294117647058824,0,0.5,22,22,0,0,0,0,0,0,0,Eligible,
"Fairhaven Public Schools","EAST FAIRHAVEN",420,403,168,18,186,178.4714285714286,0.44285714285714284,224.52857142857144,19,1265,2005,178,2183,3448,181.47368421052633,0.45030690871098344,114.89473684210526,0.6437710380971238,66.57894736842105,0.2965277289425128,19,507,0,0,1218,70,1288,1795,94.47368421052632,0.23442601541073527,67.78947368421052,0.37983375953691956,26.68421052631579,0.11884550084889643,47.10526315789474,0.5900137425561154,0.5,202,107.52631578947368,0.46769150599270454,0.28245125348189415,0,0,0.6785515320334262,0.03899721448467967,26725.92636856766,"Near Eligible",
"Fairhaven Public Schools","HASTINGS MIDDLE SCHOOL",473,454,147,36,183,175.6490486257928,0.386892177589852,278.35095137420717,18,2189,2002,430,2432,4621,256.72222222222223,0.5654674498286834,135.11111111111111,0.7692106058539222,121.61111111111111,0.4368984927506878,19,41,0,0,248,31,279,320,16.842105263157894,0.03709714815673545,14.68421052631579,0.08359971568988914,2.1578947368421053,0.007752424506503994,120.42690058479532,0.10868247922437672,0.5,227,210.1578947368421,0.0741942963134709,0.128125,0,0,0.775,0.096875,61590.580164473686,"Near Eligible",
"Fairhaven Public Schools","LEROY WOOD ELEMENTARY SCHOOL",509,489,192,42,234,224.80550098231828,0.45972495088408644,264.1944990176817,19,1869,2439,420,2859,4728,248.8421052631579,0.5088795608653536,150.47368421052633,0.669350543260779,98.36842105263158,0.3723333431179734,19,705,0,0,1261,137,1398,2103,110.6842105263158,0.22634807878592186,73.57894736842105,0.3273004755084187,37.10526315789474,0.14044676666568823,76.89473684210527,0.48898216159496327,0.5,245,134.31578947368422,0.45177228786251344,0.33523537803138376,0,0,0.5996195910603899,0.06514503090822635,31672.697830167435,"Near Eligible",
"Fairhaven Public Schools","FAIRHAVEN HIGH",647,621,190,39,229,219.79752704791343,0.35394126738794435,401.20247295208657,18,2263,1981,300,2281,4544,252.44444444444446,0.40651279298622295,126.72222222222223,0.5765407096440998,125.72222222222223,0.31336352764016123,19,83,0,0,441,67,508,591,31.105263157894736,0.05008899059242308,26.736842105263158,0.12164305242358264,4.368421052631579,0.01088832035477826,99.98538011695908,0.2109877939038741,0.5,311,279.89473684210526,0.10001692333728211,0.1404399323181049,0,0,0.7461928934010152,0.11336717428087986,81353.03916644404,"Not Eligible",
"Fairhaven Public Schools","SAINT JOSEPH'S SCHOOL",182,175,46,13,59,56.73076923076923,0.3241758241758242,118.26923076923077,18,858,512,143,655,1513,84.05555555555556,0.4803174603174603,36.388888888888886,0.6414312617702448,47.666666666666664,0.4030352303523035,19,309,176,2,0,0,178,487,25.63157894736842,0.14646616541353383,9.368421052631579,0.16513826940231935,16.263157894736842,0.13750962772785622,27.020467836257307,0.25745279228605866,0.5,88,62.368421052631575,0.29126794258373206,0.6344969199178645,0.3613963039014374,0.004106776180698152,0,0,8100.466875607911,"Not Eligible",
"Fall River Public Schools","A S LETOURNEAU",647,600,490,47,537,497.9907264296754,0.8299845440494591,102.00927357032457,19,926,7074,463,7537,8463,445.42105263157896,0.7423684210526316,396.6842105263158,0.7965694730308079,48.73684210526316,0.47776874003189795,19,1606,0,0,7619,719,8338,9944,523.3684210526316,0.872280701754386,438.8421052631579,0.8812254565650626,84.52631578947368,0.8286140350877194,0,1.1062757065145283,0.8,480,0,1,0.16150442477876106,0,0,0.7661906677393403,0.07230490748189863,0,Eligible,
"Fall River Public Schools","B M C DURFEE",2086,1856,1337,204,1541,1371.091083413231,0.7387344199424737,484.90891658676895,18,3846,14401,1729,16130,19976,1109.7777777777778,0.59794061302682,896.1111111111111,0.653575186909033,213.66666666666666,0.44063257935252553,19,901,0,0,3816,584,4400,5301,279,0.15032327586206898,231.57894736842104,0.16890121317974163,47.421052631578945,0.09779373199686973,664.53216374269,0.25842659966717785,0.8,1485,1206,0.18787878787878787,0.169967930579136,0,0,0.7198641765704584,0.11016789285040558,340771.78268251277,Eligible,
"Fall River Public Schools","EDMUND P TALBOT MIDDLE",527,487,456,40,496,458.35294117647055,0.9411764705882353,28.64705882352941,19,444,7349,643,7992,8436,444,0.9117043121149897,420.63157894736844,0.9177023667999569,23.36842105263158,0.8157354371555172,19,61,0,0,1274,72,1346,1407,74.05263157894737,0.15205879174321843,70.84210526315789,0.15455798119528802,3.210526315789474,0.11207176051010485,349.7894736842105,0.1684184184184184,0.8,390,315.9473684210526,0.18987854251012146,0.0433546552949538,0,0,0.9054726368159204,0.0511727078891258,98997.56067781392,Eligible,
"Fall River Public Schools","FALL RIVER RESILIENCY SCHOOL",206,147,165,12,177,126.30582524271846,0.8592233009708737,20.694174757281555,18,27,838,62,900,927,51.5,0.35034013605442177,50,0.3958645605134709,1.5,0.07248416608022519,18,3,0,0,174,3,177,180,10,0.06802721088435375,9.833333333333334,0.07785336356764928,0.16666666666666666,0.008053796231136131,40.166666666666664,0.19666666666666668,0.8,118,108,0.0847457627118644,0.016666666666666666,0,0,0.9666666666666667,0.016666666666666666,34412.04,Eligible,
"Fall River Public Schools","FRANK M. SILVIA ELEMENTARY",783,719,476,66,542,497.698595146871,0.6922094508301405,221.30140485312901,19,1690,5830,702,6532,8222,432.7368421052632,0.6018593075177513,343.7894736842105,0.6907583767295107,88.94736842105263,0.4019286207427571,19,2281,0,0,4877,665,5542,7823,411.7368421052632,0.5726520752507137,291.6842105263158,0.5860659711933478,120.05263157894737,0.5424847242096029,52.10526315789474,0.8484384568279241,0.8,575,163.26315789473682,0.7160640732265446,0.29157612169244534,0,0,0.6234181260386041,0.08500575226895053,40585.52226430835,Eligible,
"Fall River Public Schools","HENRY LORD COMMUNITY SCHOOL",665,613,531,69,600,553.0827067669173,0.9022556390977443,59.91729323308271,19,824,8450,789,9239,10063,529.6315789473684,0.8639993131278441,486.2631578947368,0.8791870581837954,43.36842105263158,0.7238047433805999,19,906,0,0,9231,499,9730,10636,559.7894736842105,0.9131965312956126,512.1052631578947,0.9259108210984229,47.68421052631579,0.7958338561927468,0,1.0531442796839483,0.8,490,0,1,0.08518239939827002,0,0,0.8679014667168108,0.046916133884919144,0,Eligible,
"Fall River Public Schools","JAMES TANSEY",316,296,164,42,206,192.9620253164557,0.6518987341772152,103.0379746835443,19,822,1857,535,2392,3214,169.1578947368421,0.5714793741109531,125.89473684210526,0.652432708641191,43.26315789473684,0.41987585671796196,18,863,0,0,1314,315,1629,2492,138.44444444444446,0.46771771771771775,90.5,0.4690041983731304,47.94444444444444,0.4653084903084903,35.39473684210526,0.7188545150501673,0.8,237,98.55555555555554,0.5841537740271918,0.34630818619582665,0,0,0.5272873194221509,0.12640449438202248,23273.49895666131,Eligible,
"Fall River Public Schools","JOHN J DORAN",525,481,448,32,480,439.7714285714286,0.9142857142857143,41.22857142857143,19,392,6220,377,6597,6989,367.8421052631579,0.7647445015866069,347.2105263157895,0.7895249753802385,20.63157894736842,0.5004194477878688,19,498,0,0,4603,337,4940,5438,286.2105263157895,0.5950322792428056,260,0.5912162162162162,26.210526315789473,0.6357369515264252,87.21052631578948,0.7488252235864787,0.8,385,98.78947368421052,0.7434039644565961,0.09157778595071718,0,0,0.8464509010665686,0.06197131298271423,29734.17825826058,Eligible,
"Fall River Public Schools","MARY L. FONSCA SCHOOL",699,650,591,54,645,599.7854077253219,0.9227467811158798,50.21459227467811,19,560,8881,766,9647,10207,537.2105263157895,0.8264777327935223,507.7368421052632,0.8465308351379344,29.473684210526315,0.5869545659019343,19,449,0,0,5716,510,6226,6675,351.3157894736842,0.5404858299595142,327.6842105263158,0.5463357499293852,23.63157894736842,0.4706117858749438,180.0526315789474,0.6453819840364879,0.8,520,168.68421052631578,0.6756072874493927,0.06726591760299626,0,0,0.8563295880149813,0.07640449438202247,52002.83269071556,Eligible,
"Fall River Public Schools","MATTHEW J KUSS MIDDLE",730,672,482,69,551,507.2219178082192,0.7547945205479452,164.7780821917808,19,2020,7342,955,8297,10317,543,0.8080357142857143,436.6842105263158,0.8609332428166605,106.3157894736842,0.6452058918245334,19,301,0,0,1663,66,1729,2030,106.84210526315789,0.15899122807017543,91,0.17940865093768904,15.842105263157896,0.09614206605900226,345.6842105263158,0.2083885741834398,0.8,538,431.1578947368421,0.19859127372334182,0.1482758620689655,0,0,0.8192118226600985,0.03251231527093596,122529.93377236192,Eligible,
"Fall River Public Schools","MORTON MIDDLE",586,546,400,69,469,436.9863481228669,0.8003412969283277,109.0136518771331,19,1450,5768,914,6682,8132,428,0.7838827838827839,351.6842105263158,0.8047945022470889,76.3157894736842,0.7000571777899713,19,208,0,0,1437,213,1650,1858,97.78947368421052,0.1791016001542317,86.84210526315789,0.1987295613151297,10.947368421052632,0.10042199515883728,264.8421052631579,0.24693205627057765,0.8,437,339.2105263157895,0.2237745393231362,0.11194833153928956,0,0,0.7734122712594187,0.11463939720129171,101208.88278284515,Eligible,
