Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE22  ","Apple Empire ECO polybag 12/3#     ","ECO-branded                             ","          ",440,19994,"CS   ",23.1071,19.5145,462002.59,390172.1371,71830.45,3.5926,0.1555
"APPE12  ","Apple McIntosh ECO polybag 12/3#   ","ECO-branded                             ","          ",312,17951,"CS   ",23.7004,20.0733,425446.05,360335.1631,65110.89,3.6271,0.153
"TOM1    ","Tomato Hrlm Mix boxette 6/2.25# TJs","                                        ","          ",166,9470,"CS   ",28.7446,24.0357,272211.3,227618.504,44592.8,4.7089,0.1638
"APPE11  ","Apple McIntosh ECO tote 10/4#      ","TJs                                     ","          ",198,11407,"CS   ",24.7616,21.1643,282456,241421.2995,41034.7,3.5973,0.1453
"APP31   ","Apple Gala tote 10/4#              ","TJs                                     ","          ",141,11781,"CS   ",25.5,22.2866,300415.5,262558.882,37856.62,3.2134,0.126
"APPE61  ","Apple Paula Red ECO tote 10/4#     ","TJs                                     ","          ",51,5880,"CS   ",24.75,20.395,145530,119922.3515,25607.65,4.355,0.176
"APPE14  ","Apple McIntosh ECO 88s             ","                                        ","          ",422,6160.525,"CS   ",28.865,24.8366,177823.5,153006.731,24816.77,4.0284,0.1396
"PCHE3   ","Peach ECO basket 6/3.5#            ","                                        ","          ",330,5661,"CS   ",25.3159,21.8267,143313.39,123560.7756,19752.61,3.4892,0.1378
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",206,3571,"CS   ",35.601,30.5427,127131.33,109067.8368,18063.49,5.0583,0.1421
"APPE71  ","Apple Macoun ECO tote 10/4#        ","TJs                                     ","          ",143,5452,"CS   ",25.5,22.2311,139026,121203.982,17822.02,3.2689,0.1282
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",86,5691,"CS   ",55.7257,53.2333,317135.23,302950.449,14184.78,2.4924,0.0447
"APPE4   ","Apple Honeycrisp ECO 56/64s        ","                                        ","          ",8,2734,"CS   ",53.9265,48.9576,147435,133849.97,13585.03,4.9689,0.0921
"APPE31  ","Apple Gala ECO tote 10/4#          ","TJs                                     ","          ",78,3398,"CS   ",25.5093,21.5189,86680.75,73121.25,13559.5,3.9904,0.1564
"PCHE2   ","Peach ECO punnet 8/3#              ","                                        ","          ",45,6607,"CS   ",22.4852,20.4787,148559.85,135302.5384,13257.31,2.0065,0.0892
"APPE41  ","Apple Honeycrisp ECO tote 10/4#    ","TJs                                     ","          ",27,1353,"CS   ",39.9409,34.5,54040,46678.5,7361.5,5.4409,0.1362
"APP84   ","Apple Cortland 80s                 ","                                        ","          ",198,1974,"CS   ",27.8138,24.3568,54904.5,48080.2392,6824.26,3.457,0.1243
"PCH3    ","Peach basket 6/3.5#                ","                                        ","          ",56,4024,"CS   ",22.1306,20.7692,89053.51,83575.22,5478.29,1.3614,0.0615
"APPE1   ","Apple McIntosh ECO 80s             ","                                        ","          ",69,1208,"CS   ",29.1558,24.6715,35220.25,29803.158,5417.09,4.4843,0.1538
"CUC1    ","Cucumber Super Select 1-1/9 bu     ","                                        ","          ",382,1308,"CS   ",28.8387,25.373,37721,33187.9381,4533.06,3.4657,0.1202
"SQU3    ","Squash Yellow 1/2bu ~20#           ","                                        ","          ",455,3291,"CS   ",17.8866,16.7152,58864.65,55009.8748,3854.78,1.1714,0.0655
"APP14   ","Apple McIntosh 88s                 ","                                        ","          ",32,978,"CS   ",26.7768,22.9099,26187.75,22405.8342,3781.92,3.8669,0.1444
"APPE84  ","Apple Cortland ECO 80s             ","                                        ","          ",182,1352,"CS   ",28.0801,25.3288,37964.25,34244.5178,3719.73,2.7513,0.098
"TAN2    ","Tangerine Ojai Pixie med loose 25# ","                                        ","          ",8,1008,"CS   ",34.75,31.08,35028,31328.64,3699.36,3.67,0.1056
"PUM19   ","Pumpkin 18-22#ea 39-40ct bin ~790# ","                                        ","          ",39,91,"BN   ",182.0416,141.6293,16565.79,12888.264,3677.53,40.4123,0.222
"APP271  ","Apple Cripps Pink tote 10/4#       ","TJs                                     ","          ",23,864,"CS   ",25.6948,21.4623,22200.31,18543.404,3656.91,4.2325,0.1647
"APP29   ","INACTIVE Apple Empire counts       ","                                        ","          ",7,1296,"CS   ",24.75,22,32076,28512,3564,2.75,0.1111
"APP74   ","Apple Macoun 80/88s                ","                                        ","          ",4,594,"CS   ",32.2273,26.7904,19143,15913.5,3229.5,5.4369,0.1687
"COR1    ","Corn Sweet bag 52s                 ","                                        ","          ",19,1902,"CS   ",15.4414,13.8968,29369.5,26431.71,2937.79,1.5446,0.1
"MICO20  ","Micro Katsi-rainbow Mix OG clam 8oz","                                        ","          ",37,2970,"EA   ",16,15.1,47520,44847,2673,0.9,0.0562
"APP22   ","Apple Empire polybag 12/3#         ","                                        ","          ",20,595,"CS   ",23.75,19.2812,14131.25,11472.335,2658.92,4.4688,0.1882
"APP32   ","Apple Gala  72/80/88s              ","                                        ","          ",8,924,"CS   ",29,26.5041,26796,24489.7464,2306.25,2.4959,0.0861
"APPE124 ","Apple Red Delicious ECO 88/100s    ","                                        ","          ",18,1148,"CS   ",20.1871,18.195,23174.75,20887.9138,2286.84,1.9921,0.0987
"APP71   ","Apple Macoun tote 10/4#            ","                                        ","          ",18,470,"CS   ",25.484,20.7475,11977.5,9751.341,2226.16,4.7365,0.1859
"APP33   ","Apple Gala tote 8/5#               ","                                        ","          ",5,840,"CS   ",24.3646,21.7604,20466.25,18278.75,2187.5,2.6042,0.1069
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",98,1846,"CS   ",24.4531,23.2938,45140.5,43000.2911,2140.21,1.1593,0.0474
"SQU44   ","Squash Butternut bin ~700#         ","                                        ","          ",28,30,"BN   ",239,169.5537,7170,5086.61,2083.39,69.4463,0.2906
"TAN1    ","Tangerine Ojai Pixie sm loose 25#  ","                                        ","          ",7,792.4,"CS   ",25.8811,23.2924,20508.2,18456.92,2051.28,2.5887,0.1
"APPE65  ","Apple Paula Red ECO 80/88s         ","                                        ","          ",29,840,"CS   ",22.9348,20.6489,19265.25,17345.0928,1920.16,2.2859,0.0997
"TOM5    ","Tomato XL loose 20#                ","                                        ","          ",216,619,"CS   ",29.441,26.3696,18224,16322.8024,1901.2,3.0714,0.1043
"APPE148 ","Apple Honeycrisp ECO 72s           ","                                        ","          ",2,171,"CS   ",12.0884,1.0602,2067.12,181.29,1885.83,11.0282,0.9123
"BEAO3   ","Bean Green OG 1bu loose 25#        ","                                        ","          ",158,576,"CS   ",32.3976,29.1719,18661,16803.0301,1857.97,3.2257,0.0996
"APP1    ","Apple McIntosh 80s                 ","                                        ","          ",21,378,"CS   ",29,24.25,10962,9166.5,1795.5,4.75,0.1638
"APP11   ","Apple McIntosh tote 10/4#          ","                                        ","          ",11,378,"CS   ",24.75,20,9355.5,7560,1795.5,4.75,0.1919
"APPE83  ","Apple Cortland ECO tote 8/5#       ","                                        ","          ",87,1461,"CS   ",24.3759,23.1666,35613.25,33846.3926,1766.86,1.2093,0.0496
"COR3    ","Corn Sweet bag 60s                 ","                                        ","          ",234,2437,"CS   ",17.5287,16.8296,42717.5,41013.8007,1703.7,0.6991,0.0399
"SQU1    ","Squash Zucchini #1 1/2bu ~20#      ","                                        ","          ",446,3779,"CS   ",16.4592,16.0115,62199.41,60507.465,1691.95,0.4477,0.0272
"BRO2    ","Broccoli 20#                       ","                                        ","          ",456,1358,"CS   ",24.2927,23.0607,32989.5,31316.4643,1673.04,1.232,0.0507
"BLU1    ","Blueberry 12 pint                  ","                                        ","          ",38,827,"CS   ",24.0901,22.0767,19922.52,18257.4668,1665.05,2.0134,0.0836
"ASP1    ","Asparagus bunch 28/1#              ","                                        ","          ",7,80,"CS   ",56,36.0625,4480,2885,1595,19.9375,0.356
"APP24   ","Apple Empire 80/88s                ","                                        ","          ",2,672,"CS   ",22.75,20.5,15288,13776,1512,2.25,0.0989
"POT13   ","Potato Red As bag 50#              ","                                        ","          ",58,1756,"BG   ",12.3823,11.529,21743.25,20244.8987,1498.35,0.8533,0.0689
"RHU1    ","Rhubarb loose 20#                  ","                                        ","          ",26,372,"CS   ",35.0618,31.073,13043,11559.16,1483.84,3.9888,0.1138
"APP12   ","Apple McIntosh polybag 12/3#       ","                                        ","          ",9,330,"CS   ",23.75,19.2886,7837.5,6365.244,1472.26,4.4614,0.1878
"LET11   ","Lettuce Romaine Heart 12/18oz      ","                                        ","          ",81,488,"CS   ",25.1758,22.381,12285.81,10921.92,1363.89,2.7948,0.111
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",58,433,"CS   ",29.4382,26.2983,12746.75,11387.1805,1359.57,3.1399,0.1067
"PEP14   ","Pepper Bell Green med 1-1/9 bu ~75s","                                        ","          ",16,486,"CS   ",19.0642,16.3982,9265.2,7969.54,1295.66,2.666,0.1398
"LET5    ","Lettuce Romaine 24s                ","                                        ","          ",405,659,"CS   ",19.2747,17.3398,12702,11426.9214,1275.08,1.9349,0.1004
"TUR3    ","Turnip Macomber 1-1/9 bu ~45#      ","                                        ","          ",19,349,"CS   ",28.9649,25.6391,10108.75,8948.0409,1160.71,3.3258,0.1148
"APPE25  ","Apple Empire ECO 175s              ","                                        ","          ",6,216,"CS   ",26.25,20.9606,5670,4527.4905,1142.51,5.2894,0.2015
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","                                        ","          ",27,370,"CS   ",24.1574,21.2073,8938.25,7846.7105,1091.54,2.9501,0.1221
"LET4    ","Lettuce Red Leaf 24s               ","                                        ","          ",355,1158,"CS   ",18.5019,17.5799,21425.25,20357.5639,1067.69,0.922,0.0498
"PEP8    ","Pepper Bell Green XL 1-1/9bu ~55s  ","                                        ","          ",307,804,"CS   ",23.5675,22.2512,18948.25,17889.9789,1058.27,1.3163,0.0559
"APPE63  ","Apple Paula Red ECO tote 8/5#      ","                                        ","          ",25,315,"CS   ",25.0937,21.7511,7904.5,6851.5895,1052.91,3.3426,0.1332
"APPE33  ","Apple Gala ECO tote 8/5#           ","                                        ","          ",62,655,"CS   ",25.2828,23.7456,16560.25,15553.3575,1006.89,1.5372,0.0608
"APPE74  ","Apple Macoun ECO 80s               ","                                        ","          ",21,351,"CS   ",32.4387,29.5991,11386,10389.2992,996.7,2.8396,0.0875
"PCHE7   ","Peach Donut ECO 3-layer tray pack  ","                                        ","          ",7,423,"CS   ",22.6637,20.3102,9586.75,8591.2295,995.52,2.3535,0.1038
"PUM20   ","Pumpkin Sugar 4-6#ea 225ct bin~900#","                                        ","          ",13,13,"BN   ",300,226.1208,3900,2939.5704,960.43,73.8792,0.2463
"GRA11   ","Grape Mars clam 8/1#               ","                                        ","          ",4,299,"CS   ",27,24,8073,7176,897,3,0.1111
"LET1    ","Lettuce Green Leaf 24s             ","                                        ","          ",463,1421,"CS   ",18.1977,17.5873,25858.96,24991.5206,867.44,0.6104,0.0335
"SQU54   ","Squash Spaghetti bin ~700#         ","                                        ","          ",8,9,"BN   ",295,210.9922,2655,1898.9298,756.07,84.0078,0.2848
"APPE125 ","Apple Red Delicious ECO 175s       ","                                        ","          ",6,109,"CS   ",26.25,19.4083,2861.25,2115.5,745.75,6.8417,0.2606
"APPE26  ","Apple Empire ECO 198s              ","                                        ","          ",6,97,"CS   ",29.7,22.1305,2880.9,2146.6599,734.24,7.5695,0.2549
"CAB1    ","Cabbage Green 12-18s 50#           ","                                        ","          ",365,1139,"CS   ",13.8202,13.1819,15741.25,15014.2329,727.02,0.6383,0.0462
"BEA1    ","Bean Green 1 bu                    ","                                        ","          ",113,237,"CS   ",33.6593,30.6529,7977.25,7264.7285,712.52,3.0064,0.0893
"APP102  ","Apple McIntosh 80/88s              ","                                        ","          ",2,210,"CS   ",28,24.75,5880,5197.5,682.5,3.25,0.1161
"SQU45   ","Squash Acorn bin ~700#             ","                                        ","          ",11,11,"BN   ",242,180.9918,2662,1990.9098,671.09,61.0082,0.2521
"APPE73  ","Apple Macoun ECO tote 8/5#         ","                                        ","          ",40,595,"CS   ",24.1092,22.9859,14345,13676.6148,668.39,1.1233,0.0466
"APPE102 ","Apple McIntosh ECO 80/88s          ","                                        ","          ",10,266,"CS   ",27.9511,25.4562,7435,6771.3598,663.64,2.4949,0.0893
"APPE15  ","Apple McIntosh ECO 100s            ","                                        ","          ",2,180,"CS   ",28,24.375,5040,4387.5,652.5,3.625,0.1295
"APP119  ","Apple Ginger Gold 72/80/88/100s    ","                                        ","          ",3,225,"CS   ",24.92,22.09,5607,4970.25,636.75,2.83,0.1136
