Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE11  ","Apple McIntosh ECO tote 10/4#      ","TJs                                     ","          ",317,23238,"CS   ",26.2886,23.0242,610893.5,535035.4001,75858.1,3.2644,0.1242
"APP31   ","Apple Gala tote 10/4#              ","TJs                                     ","          ",120,12730,"CS   ",28.3654,25.0832,361091.25,319308.7676,41782.48,3.2822,0.1157
"SQU62   ","Squash Spaghetti 1-1/9 bu 10s      ","                                        ","          ",117,12316,"CS   ",15.7536,13.1562,194021.25,162031.4464,31989.8,2.5974,0.1649
"APPE41  ","Apple Honeycrisp ECO tote 10/4#    ","TJs                                     ","          ",86,6938,"CS   ",42.4758,37.9525,294697,263314.6717,31382.33,4.5233,0.1065
"APPE31  ","Apple Gala ECO tote 10/4#          ","TJs                                     ","          ",135,7629,"CS   ",28,24.3284,213612,185601.3142,28010.69,3.6716,0.1311
"APPE21  ","Apple Empire ECO tote 10/4#        ","                                        ","          ",240,7059,"CS   ",25.5086,21.8258,180065.5,154068.3295,25997.17,3.6828,0.1444
"PCHE15  ","Peach ECO basket 6/3.25#           ","                                        ","          ",98,6954,"CS   ",24.999,21.6115,173843.05,150286.1612,23556.89,3.3875,0.1355
"APPE14  ","Apple McIntosh ECO 88s             ","                                        ","          ",219,4571,"CS   ",32.7757,28.4892,149817.5,130224.1884,19593.31,4.2865,0.1308
"APP11   ","Apple McIntosh tote 10/4#          ","                                        ","          ",99,7297,"CS   ",27.565,24.9126,201141.65,181787.2021,19354.45,2.6524,0.0962
"SQU63   ","Squash Delicata 1-1/9 bu 35s       ","                                        ","          ",129,6931,"CS   ",23,20.4062,159413,141435.3706,17977.63,2.5938,0.1128
"BLU3    ","Blueberry Wild Maine 12 pint       ","                                        ","          ",352,3036,"CS   ",47.3743,41.7483,143828.5,126747.7611,17080.74,5.626,0.1188
"TOM45   ","Tomato Hrlm Mix pouch 16/1#        ","                                        ","          ",106,4110,"CS   ",31.95,28.1115,131314.5,115538.1977,15776.3,3.8385,0.1201
"PCHE1   ","Peach ECO 2-3/4""+ 2-layer tray 19# ","                                        ","          ",62,4852,"CS   ",25.3042,22.3499,122775.9,108441.4791,14334.42,2.9543,0.1168
"PCHE2   ","Peach ECO punnet 8/3#              ","                                        ","          ",125,3356,"CS   ",28.8981,25.1843,96982.15,84518.5036,12463.65,3.7138,0.1285
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",10,1868,"CS   ",67.9208,61.8909,126876,115612.25,11263.75,6.0299,0.0888
"BLU1    ","Blueberry 12 pint                  ","                                        ","          ",82,3423,"CS   ",28.9572,25.841,99120.54,88453.7369,10666.8,3.1162,0.1076
"APP80   ","Apple Fuji tote 10/4#              ","                                        ","          ",74,3321,"CS   ",28,24.9186,92988,82754.5149,10233.49,3.0814,0.1101
"APPE62  ","Apple Fuji ECO tote 10/4#          ","                                        ","          ",76,2617,"CS   ",28,24.2442,73276,63447.0585,9828.94,3.7558,0.1341
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",194,3086,"CS   ",38.68,35.5298,119366.5,109645.0379,9721.46,3.1502,0.0814
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",90,2613,"CS   ",33.7716,30.0749,88245.25,78585.7691,9659.48,3.6967,0.1095
"TOM43   ","Tomato large loose 20#             ","                                        ","          ",148,496,"CS   ",53.0126,36.0991,26294.25,17905.1644,8389.09,16.9135,0.319
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",104,2167,"CS   ",28.1499,24.5767,61000.8,53257.6362,7743.16,3.5732,0.1269
"APP41   ","Apple Honeycrisp tote 10/4#        ","                                        ","          ",22,1555,"CS   ",42.5,37.6654,66087.5,58569.6695,7517.83,4.8346,0.1138
"APPE33  ","Apple Gala ECO tote 8/5#           ","                                        ","          ",85,2218,"CS   ",29.7904,26.7299,66075.05,59286.9948,6788.06,3.0605,0.1027
"PEP7    ","Pepper Bell Green Lg 1-1/9 bu      ","                                        ","          ",195,581,"CS   ",30.7528,21.3503,17867.4,12404.5508,5462.85,9.4025,0.3057
"APP271  ","Apple Cripps Pink tote 10/4#       ","TJs                                     ","          ",24,1346,"CS   ",27.25,23.4131,36678.5,31513.9991,5164.5,3.8369,0.1408
"TOTE2   ","PKG Tote Paper Apple 5#            ","                                        ","          ",14,32583,"EA   ",0.3576,0.2072,11650.58,6751.2475,4899.33,0.1504,0.4205
"APPE57  ","Apple Gala ECO 72/80/88s           ","ECO-branded                             ","          ",12,1321,"CS   ",32.9497,29.4283,43526.5,38874.75,4651.75,3.5214,0.1069
"APPE7   ","Apple Macoun ECO 80/88/100s        ","                                        ","          ",63,1439,"CS   ",35.5336,32.3205,51132.8,46509.1802,4623.62,3.2131,0.0904
"CUC1    ","Cucumber Super Select 1-1/9 bu     ","                                        ","          ",265,801,"CS   ",33.4092,27.7805,26760.75,22252.2059,4508.54,5.6287,0.1685
"SQU1    ","Squash Zucchini #1 1/2bu ~20#      ","                                        ","          ",271,2651,"CS   ",16.8338,15.3449,44626.51,40679.3836,3947.13,1.4889,0.0884
"MICO20  ","Micro Katsi-rainbow Mix OG clam 8oz","                                        ","          ",51,4050,"EA   ",16,15.1,64800,61155,3645,0.9,0.0562
"CUC6    ","Cucumber Pickle Fancy 1/2 bu       ","                                        ","          ",145,929,"CS   ",23.1157,19.3696,21474.5,17994.3569,3480.14,3.7461,0.1621
"SQU44   ","Squash Butternut bin ~700#         ","                                        ","          ",13,14,"BN   ",455,218.9143,6370,3064.8,3305.2,236.0857,0.5189
"TAN2    ","Tangerine Ojai Pixie med loose 25# ","                                        ","          ",8,1111,"CS   ",29.5371,26.6119,32815.75,29565.86,3249.89,2.9252,0.099
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","                                        ","          ",40,1027,"CS   ",26.8464,23.7648,27571.3,24406.468,3164.83,3.0816,0.1148
