Itemcode,"Description                        ","Item_brand                              ","Packsize  ",Number_of_invoices,Quantity_sold,Uomid,"Ave_price_each       ","Ave_cost_each        ","Total_sales          ","Cost_of_goods_sold   ","Line_gross_profit    ",Gross_profit_per_muom,Profit_percent
"APPE32  ","Apple McIntosh ECO 80/88/100s      ","                                        ","          ",48,6666,"CS   ",33.7841,29.8545,225204.75,199010.0009,26194.75,3.9296,0.1163
"TOM45   ","Tomato Hrlm Mix pouch 16/1#        ","                                        ","          ",111,3740,"CS   ",33.75,28.0155,126225,104777.895,21447.11,5.7345,0.1699
"PCHE18  ","Peach ECO pouch 8/3#               ","                                        ","          ",70,5131,"CS   ",24.5375,21.5144,125902,110390.6364,15511.36,3.0231,0.1232
"PCHE1   ","Peach ECO 2-3/4""+ 2-layer tray 19# ","                                        ","          ",57,3627,"CS   ",29.1426,25.793,105700.25,93551.1613,12149.09,3.3496,0.1149
"BLU1    ","Blueberry 12 pint                  ","                                        ","          ",74,3149,"CS   ",28.843,25.3843,90826.62,79935.1831,10891.44,3.4587,0.1199
"APPE41  ","Apple Honeycrisp ECO tote 10/4#    ","TJs                                     ","          ",20,1907,"CS   ",42.5,37.221,81047.5,70980.5044,10067,5.279,0.1242
"PCHE2   ","Peach ECO punnet 8/3#              ","                                        ","          ",64,2842,"CS   ",28.7716,25.5455,81768.75,72600.4279,9168.32,3.2261,0.1121
"STR1    ","Strawberry Native 8 quart          ","                                        ","          ",213,2758,"CS   ",38.9433,35.867,107405.5,98921.1915,8484.31,3.0763,0.079
"APP41   ","Apple Honeycrisp tote 10/4#        ","                                        ","          ",15,1493,"CS   ",42.5,37.2033,63452.5,55544.5115,7907.99,5.2967,0.1246
"APPE40  ","Apple Honeycrisp ECO 72/80/88s     ","                                        ","          ",28,1318,"CS   ",75.7583,70.2897,99849.5,92641.8498,7207.65,5.4686,0.0722
"APPE33  ","Apple Gala ECO tote 8/5#           ","                                        ","          ",76,2663,"CS   ",26.4493,24.0254,70434.55,63979.5567,6454.99,2.4239,0.0916
"TOM43   ","Tomato large loose 20#             ","                                        ","          ",142,471,"CS   ",52.2436,39.9963,24606.75,18838.235,5768.52,12.2473,0.2344
"APPE13  ","Apple McIntosh ECO tote 8/5#       ","                                        ","          ",101,2579,"CS   ",25.8242,23.6684,66600.65,61040.8844,5559.77,2.1558,0.0835
"APPE73  ","Apple Macoun ECO tote 8/5#         ","                                        ","          ",33,1003,"CS   ",28.9688,25.5956,29055.75,25672.4104,3383.34,3.3732,0.1164
"SQU65   ","Squash Butternut peel/halved 2/10# ","                                        ","          ",18,1233,"CS   ",18.8339,16.4453,23222.25,20277,2945.25,2.3886,0.1268
"APPE57  ","Apple Gala ECO 72/80/88s           ","ECO-branded                             ","          ",37,659,"CS   ",34.3156,30.0246,22614,19786.2154,2827.78,4.291,0.125
"CUC1    ","Cucumber Super Select 1-1/9 bu     ","                                        ","          ",130,509,"CS   ",30.7346,25.2487,15643.9,12851.5872,2792.31,5.4859,0.1785
"APPE7   ","Apple Macoun ECO 80/88/100s        ","                                        ","          ",40,671,"CS   ",38.3757,34.3549,25750.1,23052.1535,2697.95,4.0208,0.1048
"MICO20  ","Micro Katsi-rainbow Mix OG clam 8oz","                                        ","          ",45,2733,"EA   ",16,15.1,43728,41268.3,2459.7,0.9,0.0562
"TAN4    ","Tangerine Ojai Pixie jmbo loose 25#","                                        ","          ",3,432,"CS   ",40.25,35.9653,17388,15537.0024,1851,4.2847,0.1065
"TAN2    ","Tangerine Ojai Pixie med loose 25# ","                                        ","          ",5,513,"CS   ",33.5,30,17185.5,15390,1795.5,3.5,0.1045
"APP172  ","Apple Honeycrisp 80/88/100s        ","                                        ","          ",1,294,"CS   ",69,63,20286,18522,1764,6,0.087
"APPE63  ","Apple Paula Red ECO tote 8/5#      ","                                        ","          ",39,806,"CS   ",26.4479,24.2638,21317,19556.592,1760.41,2.1841,0.0826
"APP32   ","Apple Gala  72/80/88s              ","                                        ","          ",3,333,"CS   ",34,29.1638,11322,9711.5496,1610.45,4.8362,0.1422
"TAN3    ","Tangerine Ojai Pixie sm bag 8/3#   ","                                        ","          ",5,351,"CS   ",32.25,27.7692,11319.75,9747,1572.75,4.4808,0.1389
"APPE129 ","Apple Cortland ECO 80/88/100s      ","                                        ","          ",48,410,"CS   ",33.6546,29.9027,13798.4,12260.0909,1538.31,3.7519,0.1115
"APPE103 ","Apple Jonamac ECO tote 8/5#        ","                                        ","          ",12,630,"CS   ",25.3075,22.8786,15943.75,14413.509,1530.24,2.4289,0.096
"GRA21   ","Grape Mars 16/12oz pouch           ","                                        ","          ",13,395,"CS   ",41.2658,37.4688,16300,14800.19,1499.81,3.797,0.092
"PCHE8   ","Peach ECO White 2-3/4""+ 2-layr tray","                                        ","          ",12,508,"CS   ",30.1299,27.5857,15306,14013.5202,1292.48,2.5442,0.0844
"SQU12   ","Squash Zucchini med                ","                                        ","          ",28,1048,"CS   ",12.8387,11.6071,13455,12164.2592,1290.74,1.2316,0.0959
"MICO1   ","Micro Arugula OG clam 3oz          ","                                        ","          ",658,1906,"EA   ",5.8495,5.1797,11149.1,9872.5,1276.6,0.6698,0.1145
"MICO14  ","Microgreen Super Salad OG clam 4oz ","                                        ","          ",699,2043,"EA   ",5.3265,4.7061,10882.05,9614.5,1267.55,0.6204,0.1165
"MICO15  ","Microgreen CleanseSalad OG clam 4oz","                                        ","          ",679,2049,"EA   ",5.3324,4.7169,10926.05,9665,1261.05,0.6155,0.1154
"MICO19  ","Micro Broccoli OG clam 3oz         ","                                        ","          ",698,1853,"CS   ",5.8655,5.2018,10868.8,9639,1229.8,0.6637,0.1131
"APPE119 ","Apple Ginger Gold ECO 72/80/88/100s","                                        ","          ",3,336,"CS   ",29.75,26.25,9996,8820,1176,3.5,0.1176
"MICO21  ","Micro Kale OG clam 3oz             ","                                        ","          ",657,1711,"EA   ",5.8605,5.1832,10027.4,8868.5,1158.9,0.6773,0.1156
"TOTE9   ","PKG Tote Pouch TJs 4#              ","                                        ","500       ",11,179.35,"TH   ",171.6365,165.3006,30783,29646.6618,1136.34,6.3359,0.0369
"MICO13  ","Microgreen Sweet/Spicy OG clam 3oz ","                                        ","          ",651,1758,"EA   ",5.3052,4.6734,9326.5,8215.8,1110.7,0.6318,0.1191
"PUNN1   ","PKG Punnet Peach                   ","                                        ","          ",3,36865,"EA   ",0.33,0.3,12165.45,11059.5,1105.95,0.03,0.0909
"MICO12  ","Microgreen Rainbow Mix OG clam 3oz ","                                        ","          ",645,1742,"EA   ",5.3068,4.6768,9244.5,8146.95,1097.55,0.63,0.1187
"TAN1    ","Tangerine Ojai Pixie sm loose 25#  ","                                        ","          ",5,500,"CS   ",29,26.864,14500,13432,1068,2.136,0.0737
"CUC6    ","Cucumber Pickle Fancy 1/2 bu       ","                                        ","          ",123,443,"CS   ",18.9966,16.6132,8415.5,7359.6305,1055.87,2.3834,0.1255
"SQU13   ","Squash Yellow med 1/2bu            ","                                        ","          ",26,641,"CS   ",13.5593,11.9919,8691.5,7686.7904,1004.71,1.5674,0.1156
"SQU1    ","Squash Zucchini #1 1/2bu ~20#      ","                                        ","          ",172,1108,"CS   ",21.379,20.497,23687.9,22710.7096,977.19,0.882,0.0413
"CAB1    ","Cabbage Green 12-18s 50#           ","                                        ","          ",202,763,"CS   ",17.5924,16.3721,13423,12491.9172,931.08,1.2203,0.0694
"APPE83  ","Apple Cortland ECO tote 8/5#       ","                                        ","          ",50,546,"CS   ",26.8196,25.138,14643.5,13725.3653,918.13,1.6816,0.0627
"PUM19   ","Pumpkin 18-22#ea 39-40ct bin ~790# ","                                        ","          ",24,150,"BN   ",135.3,129.2916,20295,19393.7372,901.26,6.0084,0.0444
"MICO7   ","Micro Sunnies OG clam 4oz          ","                                        ","          ",533,1451,"EA   ",5.1173,4.4961,7425.15,6523.9,901.25,0.6212,0.1214
"APPE113 ","Apple Ginger Gold ECO tote 8/5#    ","                                        ","          ",29,430,"CS   ",26.1986,24.1073,11265.4,10366.1505,899.25,2.0913,0.0798
"TAN8    ","Tangerine Ojai Pixie lg loose 25#  ","                                        ","          ",3,218,"CS   ",38.2248,34.3532,8333,7489,844,3.8716,0.1013
"APPE56  ","Apple Zestar ECO 72/80/88s         ","                                        ","          ",1,168,"CS   ",40,35,6720,5880,840,5,0.125
"PEP7    ","Pepper Bell Green Lg 1-1/9 bu      ","                                        ","          ",101,297,"CS   ",28.531,25.7487,8473.7,7647.3511,826.35,2.7823,0.0975
"PCHE7   ","Peach Donut ECO 3-layer tray pack  ","                                        ","          ",3,410,"CS   ",27.5098,25.5271,11279,10466.1212,812.88,1.9827,0.0721
"PUM20   ","Pumpkin Sugar 4-6#ea 225ct bin~900#","                                        ","          ",8,8,"BN   ",403.5,306.885,3228,2455.08,772.92,96.615,0.2394
"EGG16   ","Eggplant Classic 1-1/9bu           ","                                        ","          ",107,159,"CS   ",27.8057,22.9625,4421.1,3651.0305,770.07,4.8432,0.1742
"SQU44   ","Squash Butternut bin ~700#         ","                                        ","          ",6,7,"BN   ",371,280.4172,2597,1962.9204,634.08,90.5828,0.2442
"COR3    ","Corn Sweet bag 60s                 ","                                        ","          ",111,938,"CS   ",19.315,18.6783,18117.5,17520.2135,597.29,0.6367,0.033
"PCHE15  ","Peach ECO basket 6/3.25#           ","                                        ","          ",17,188,"CS   ",28.8457,25.7508,5423,4841.1492,581.85,3.0949,0.1073
"NECE5   ","Nectarine ECO punnet 8/3#          ","                                        ","          ",7,212,"CS   ",29.9387,27.199,6347,5766.1904,580.81,2.7397,0.0915
"SQU3    ","Squash Yellow 1/2bu ~20#           ","                                        ","          ",157,688,"CS   ",21.4778,20.6413,14776.7,14201.2087,575.49,0.8365,0.0389
"WHEO1   ","Wheatgrass OG cut clam 6oz         ","                                        ","          ",521,1317,"EA   ",5.102,4.6657,6719.3,6144.71,574.59,0.4363,0.0855
"APPE254 ","Apple Empire ECO 125s              ","                                        ","          ",28,134,"CS   ",28.5896,24.5963,3831,3295.8995,535.1,3.9933,0.1397
"APPE100 ","Apple Cortland ECO 72/80/88s       ","                                        ","40#       ",2,129,"CS   ",32.3837,28.6234,4177.5,3692.4201,485.08,3.7603,0.1161
"SQU6    ","Squash Spaghetti 1-1/9 bu ~40#     ","                                        ","          ",129,234,"CS   ",24.9637,23.0081,5841.5,5383.8842,457.62,1.9556,0.0783
"TOTE8   ","PKG Tote Paper Apple Lyman 5#      ","                                        ","          ",1,54500,"EA   ",0.172,0.1641,9374,8943.45,430.55,0.0079,0.0459
"GRA22   ","Grape Jupiter 16/12oz pouch        ","                                        ","          ",8,166,"CS   ",41.988,39.4085,6970,6541.8048,428.2,2.5795,0.0614
"SQU36   ","Squash Butternut 1-1/9bu ~45#      ","                                        ","          ",111,261,"CS   ",24.3764,22.8018,6362.25,5951.2787,410.97,1.5746,0.0646
"SQU24   ","Squash Butternut peel/dice bag4/10#","                                        ","          ",18,29,"CS   ",55.2414,41.1521,1602,1193.41,408.59,14.0893,0.255
"ASP6    ","Asparagus bunch 24/1#              ","                                        ","          ",3,60,"CS   ",79.6667,73.3333,4780,4400,380,6.3334,0.0795
"APP33   ","Apple Gala tote 8/5#               ","                                        ","          ",2,140,"CS   ",26.5,23.8246,3710,3335.451,374.55,2.6754,0.101
"PEA5    ","Pea Sugar Snap 15# 1/2 bu          ","                                        ","          ",8,82,"CS   ",36.9787,32.5145,3032.25,2666.19,366.06,4.4642,0.1207
"NECE7   ","Nectarine White ECO 2-3/4 + 2-layer","                                        ","          ",5,94,"CS   ",33.0585,29.3356,3107.5,2757.55,349.95,3.7229,0.1126
"APPE50  ","Apple Empire ECO 138s              ","                                        ","          ",3,98,"CS   ",26,22.5,2548,2205,343,3.5,0.1346
"PCHE6   ","Peach ECO 2-1/2"" tray pack         ","                                        ","          ",2,89,"CS   ",30.8764,27.2388,2748,2424.25,323.75,3.6376,0.1178
"TAN5    ","Tangerine Ojai Pixie Med, Bag, 8/3#","                                        ","          ",1,81,"CS   ",36.75,33,2976.75,2673,303.75,3.75,0.102
"SQU4    ","Squash Acorn 1-1/9 bu ~40#         ","                                        ","          ",81,113,"CS   ",25.1858,22.5432,2846,2547.3771,298.62,2.6426,0.1049
"TAN7    ","Tangerine Ojai Pixie sm bag 9/2#   ","                                        ","          ",2,144,"CS   ",19.315,17.25,2781.36,2484,297.36,2.065,0.1069
"SQU25   ","Squash Butternut peeled halved 40# ","                                        ","          ",17,24,"CS   ",52.125,39.8583,1251,956.5986,294.4,12.2667,0.2353
"PLM1    ","Plum Prune Italian loose 1/2 bu    ","                                        ","          ",4,94,"CS   ",30.1223,27.1099,2831.5,2548.3303,283.17,3.0124,0.1
"SQU54   ","Squash Spaghetti bin ~700#         ","                                        ","          ",3,3,"BN   ",371,280.42,1113,841.26,271.74,90.58,0.2442
"GRA20   ","Grape Vanessa 16/12oz pouch        ","                                        ","          ",6,85,"CS   ",41.1765,38.0171,3500,3231.45,268.55,3.1594,0.0767
"PCHE13  ","Peach ECO 2-1/4"" loose 26#         ","                                        ","          ",19,192,"CS   ",22.7695,21.4766,4371.75,4123.5097,248.24,1.2929,0.0568
"MKTE001 ","Banner Eco Apple 24 x 36           ","                                        ","          ",2,7,"EA   ",40.7143,6.1213,285,42.849,242.15,34.593,0.8497
"BEE1    ","Beet Red bunch 12s                 ","                                        ","          ",78,210,"CS   ",22.2769,21.1714,4678.14,4445.9889,232.15,1.1055,0.0496
"PER17   ","Pear Bartlett Red tote 8/6#        ","                                        ","          ",4,48,"CS   ",38.5,34.25,1848,1644,204,4.25,0.1104
"EGG3    ","Eggplant #1 1-1/9bu                ","                                        ","          ",3,65,"CS   ",17,14.0769,1105,915,190,2.9231,0.1719
"APPE3   ","Apple Empire ECO 80/88/100s        ","                                        ","          ",22,37,"CS   ",37.2757,32.2079,1379.2,1191.6918,187.51,5.0678,0.136
"POT31   ","Potato Sweet 1-1/9bu ~40#          ","                                        ","          ",6,14,"CS   ",59,46.3022,826,648.2302,177.77,12.6978,0.2152
"PUM9    ","Pumpkin Sugar 8s 1-1/9bu ~24#      ","                                        ","          ",40,94,"CS   ",25.9628,24.1256,2440.5,2267.8063,172.69,1.8372,0.0708
"APPE14  ","Apple McIntosh ECO 88s             ","                                        ","          ",5,55,"CS   ",32.5,29.3648,1787.5,1615.063,172.44,3.1352,0.0965
"CAU1    ","Cauliflower 12s                    ","                                        ","          ",41,64,"CS   ",26.0313,23.3541,1666,1494.6603,171.34,2.6772,0.1028
"CUC2    ","Cucumber Select 1-1/9 bu           ","                                        ","          ",7,63,"CS   ",17.3571,14.6544,1093.5,923.23,170.27,2.7027,0.1557
"SQU49   ","Squash Kabocha 1-1/9bu ~45#        ","                                        ","          ",31,53,"CS   ",27.3632,24.3071,1450.25,1288.2789,161.97,3.0561,0.1117
"PUM11   ","Pumpkin Jack B. Little 1/2bu ~17#  ","                                        ","          ",25,33,"CS   ",31.3788,26.5785,1035.5,877.0892,158.41,4.8003,0.153
"BEE12   ","Beet Red diced bag 4/5#            ","                                        ","          ",12,12,"CS   ",56.25,44.1742,675,530.09,144.91,12.0758,0.2147
"APPE65  ","Apple Paula Red ECO 80/88s         ","                                        ","          ",1,41,"CS   ",29.75,26.25,1219.75,1076.25,143.5,3.5,0.1176
"APPE135 ","Apple Eco Fuji 80/88/100s          ","                                        ","          ",7,26,"CS   ",36.1154,30.9296,939,804.17,134.83,5.1858,0.1436
"APPE22  ","Apple Empire ECO polybag 12/3#     ","ECO-branded                             ","          ",4,48,"CS   ",21.75,19,1044,912,132,2.75,0.1264
"PER12   ","Pear Bartlett Green tote 8/6#      ","                                        ","          ",3,28,"CS   ",38.5,34.25,1078,959,119,4.25,0.1104
"SQU60   ","Squash Honeynut  1-1/9bu ~45#      ","                                        ","          ",12,42,"CS   ",40.744,37.9229,1711.25,1592.7601,118.49,2.8211,0.0692
"PUNN2   ","PKG Punnet Peach Master            ","                                        ","          ",3,3900,"EA   ",1.92,1.89,7488,7371,117,0.03,0.0156
"SQU9    ","Squash Zucchini 8-Ball 1/2 bu      ","                                        ","          ",11,218,"CS   ",18.5596,18.0339,4046,3931.397,114.6,0.5257,0.0283
"APPE23  ","Apple Empire ECO tote 8/5#         ","                                        ","          ",11,24,"CS   ",30.025,25.3338,720.6,608.0108,112.59,4.6912,0.1562
"MSC1    ","Miscellaneous Produce              ","                                        ","          ",4,6,"CS   ",191.6667,173.16,1150,1038.96,111.04,18.5067,0.0966
"APPE225 ","Apple Cripps Pink ECO 72/80/88s    ","                                        ","          ",1,20,"CS   ",34.5,29,690,580,110,5.5,0.1594
"NECE4   ","Nectarine ECO 2-3/4"" 2-layer tray  ","                                        ","          ",3,19,"CS   ",34.1579,28.9242,649,549.56,99.44,5.2337,0.1532
